Município;UF;Índice de Progresso Social;ÁREA km²;PIB PER CAPITA;Necessidades Humanas Básicas;Fundamentos do Bem-estar;Oportunidades;Nutrição e Cuidados Médicos Básicos;Água e Saneamento;Moradia;Segurança Pessoal;Acesso ao Conhecimento Básico;Acesso à Informação e Comunicação;Saúde e Bem-estar;Qualidade do Meio Ambiente;Direitos Individuais;Liberdades Individuais e de Escolha;Inclusão Social;Acesso à Educação Superior;Cobertura Vacinal (Poliomielite);Hospitalizações por Condições Sensíveis à Atenção Primária;Mortalidade Ajustada por Condições Sensíveis à Atenção Primária;Mortalidade Infantil até 5 Anos;Subnutrição;Abastecimento de Água via Rede de Distribuição;Esgotamento Sanitário Adequado;Índice de Abastecimento de Água;Índice de Perdas de Água na Distribuição;Domicílios com Coleta de Resíduos Adequada;Domicílios com Iluminação Elétrica Adequada;Domicílios com Paredes Adequadas;Domicílios com Piso Adequado;Assassinatos de Jovens;Assassinatos de Mulheres;Homicídios;Mortes por Acidente de Transporte;Abandono no Ensino Fundamental;Abandono no Ensino Médio;Evasão no Ensino Médio;Distorção Idade-Série no Ensino Médio;Ideb Ensino Fundamental;Reprovação Escolar no Ensino Médio;Cobertura de Internet Móvel (4G/5G);Densidade de Internet Banda Larga Fixa;Densidade de Telefonia Móvel;Qualidade de Internet Móvel;Expectativa de Vida;Mortalidade entre 15 e 50 anos;Mortalidade por Doenças Crônicas Não Transmissíveis;Obesidade;Suicídios;Consumo de Alimentos Ultraprocessados;Áreas Verdes Urbanas;Emissões de CO?e por Habitante;Focos de Calor;Índice de Vulnerabilidade Climática dos Municípios;Supressão da Vegetação Primária e Secundária;Acesso a Programas de Direitos Humanos;Existência de Ações para Direitos de Minorias;Índice de Atendimento à Demanda de Justiça;Taxa de Congestionamento Líquido de Processos;Resposta a Processos Previdenciários;Resposta a Processos Familiares;Acesso à Cultura, Lazer e Esporte;Gravidez na Adolescência (<19 anos);Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD);Praças e Parques em Áreas Urbanas;Paridade de Gênero na Câmara Municipal;Paridade de Negros na Câmara Municipal;Violência contra Indígenas;Violência contra Mulheres;Violência contra Negros;Famílias em Situação de Rua;Empregados com Ensino Superior;Mulheres Empregadas com Ensino Superior;Nota Mediana do Enem
Anagé;BA;54,14;1899,68;8479,08;66,14;56,94;39,35;74,83;34,85;80,08;74,78;58,97;45,54;68,64;54,6;23,68;44,77;69,05;19,92;86,9;467,32;85,89;21,21;4,92;25,26;30,86;27,37;30,07;23,1;90,94;75,37;95,54;18,86;0;8,65;14,15;4;10,03;10,13;48,28;4,09;7,82;44,88;3,45;50,67;93,35;71,27;1,58;228,3;14,29;6,29;72,86;2,8;6,94;25,95;50,22;34,81;7;1;40;84;955,19;495,82;1;12,86;0,36;0,17;0,18;0,34;0;61,75;40,17;2,73;18,86;23,82;496,59
Andaraí;BA;53,95;1590,32;10017,02;65,09;57,58;39,18;74,48;62,76;87,76;35,36;67,39;48,32;58,27;56,36;31,04;54,35;52,05;19,29;83,43;1337,98;109,78;19,02;3,98;62,01;55,1;60,49;25,14;78,97;93,01;75,1;94,92;115,57;11,51;41,28;35,17;0,85;6,72;8,6;44,32;4,72;7,83;59,09;0,48;55,8;90,81;70,84;2,7;335,97;16,64;5,1;71,41;7,22;7,07;1,53;52,82;39,24;7;7;99;83;3801,47;1220,47;8;17,98;0,29;0,36;0,22;0,97;66,67;208,75;129,67;1,14;23,31;25,9;487,08
Andorinha;BA;56,18;1362,39;14535,56;70,53;53,5;44,51;73,65;59,28;81,49;67,72;62,18;38,66;56,78;56,37;21,59;50,93;83,18;22,32;90,17;232,16;121,31;20,17;5,16;49,86;63,53;61,27;29,69;44,44;89,81;66,43;97,94;19,91;4,42;11,99;15,99;3,47;8,03;6,6;45,73;3,51;5,98;60,88;0,52;54,19;52,35;68,88;2,47;323;17,86;13,32;42,86;1,91;6,45;4;44,42;54,19;6;1;110,2;52,6;2141,7;906,87;4;17,39;0,29;0,79;0,18;0,35;0;23,86;0;0;30,42;34,28;507,31
Angelim;PE;57,62;118,72;13544,28;70,4;59,22;43,23;79,98;65,58;91,68;44,35;68,66;59,35;49;59,85;20,85;48,27;67,44;36,37;94,82;896,27;140,27;12,86;3,01;63,48;54,83;75,93;39,01;65,34;95,81;92,27;97,76;90,8;6,38;52,73;13,67;0,8;1,47;10,92;37,12;4,29;8,82;98,74;5,06;61,85;87,68;70,08;3,23;435,76;16,33;12,21;79,89;0,55;4,45;1,95;42,72;34,05;7;0;156,69;65,87;1275;1285,5;4;21,25;0,31;0,96;0;0,7;0;47,85;95,66;0;57,24;63,15;496,66
Angical;BA;56,91;1530,05;13530,7;69,47;52,04;49,23;72,72;61,48;71,34;72,36;67,2;41,38;56,52;43,08;42,3;45,21;76,78;32,61;91,62;511,4;137,39;21,7;4,93;59,08;50,93;57;16,82;40,95;93,03;53,1;78,22;44,52;0;14,56;18,93;1,88;8,02;8,33;36,05;4,03;2,22;40,61;6,86;48,68;78,29;71,67;2,53;381,55;18,33;8,74;77,26;0,32;48,17;24,03;57,36;37,4;7;11;112,92;58,67;1807,19;1277,79;1;17,58;0,33;0,73;0,44;0;0;18,77;17,96;0,87;38,37;55,4;487,04
Anguera;BA;55,72;187,84;6925,01;67,78;57,59;41,78;73,68;60,63;85,97;50,86;70,81;40,08;62,26;57,21;20,06;52,59;68,6;25,89;100;509,92;114,57;27,73;4,99;77;17,7;69,83;49,44;60,11;95,58;72,12;96,86;105,18;0;34,45;7,25;0,67;5,2;4,28;39,2;4,34;7,7;71,64;1,34;37,32;60,83;70,94;2,01;318,4;15,86;9,07;64,94;0,25;3,71;0;51,58;20,61;1;4;151,54;62,97;314,89;1164,71;3;9,67;0,3;0,98;0,44;0,84;0;99,41;56,27;0;21,13;29,33;504,2
Antas;BA;55,82;326,36;10754,39;70,74;57,39;39,32;68,51;66,3;89,75;58,38;57,53;59,66;59,8;52,56;5,07;51,29;84,14;16,78;75,39;3934,41;93,69;16,81;5,21;71,51;69,46;54,77;26,45;54,99;95,91;92,96;95,82;68,15;0;32,38;21,12;2,83;16,17;9,17;49,18;4,06;7,77;94,05;2,72;72,86;87,1;69,35;2,27;272,02;15,21;7,04;85,72;0,12;5,47;0;50,9;56,52;0;0;105;72;1567,94;1528,7;4;18,98;0,28;1,43;0,22;0,71;0;19,77;0;1,85;12,31;15,02;502,71
Antonina do Norte;CE;59,77;259,71;10626,58;75,32;62,02;41,96;82,44;69,99;84,76;64,11;78,64;58,04;58,69;52,7;15,42;51,78;68,33;32,33;91,73;528,37;98,54;6,94;3,76;82,05;64,16;62,57;35,33;4,91;98,4;92,45;98,83;81,1;0;18,4;22,08;0,35;2,98;7,47;20,17;5,4;0,72;87,15;7,54;70,17;83,29;71,32;2,16;362,4;15,14;13,8;76,8;0,3;9,6;4,14;49,09;46,48;4;0;91;71;1458,24;676,45;3;14,13;0,29;1,32;0,89;0,35;0;81,17;157,23;0;47,18;62,12;472,71
Antônio Cardoso;BA;53,38;293,53;10879,47;64,78;57,6;37,76;74,8;47,42;79,21;57,69;67,37;41,92;59,89;61,22;17,88;49,12;65,45;18,6;73,79;266,78;124,7;18,91;3,1;52,17;19,31;38,86;22,22;31,22;90,25;77,32;89,67;75,44;5,82;20,19;7,18;2,28;1,55;4,05;48,02;3,3;5,9;60,21;1,44;17,51;94,46;71,06;2,85;316,09;11,1;4,49;86,58;0,16;7,22;0,9;40,29;17,82;5;0;163;57,33;1434,6;1047,66;3;14,09;0,32;0;0,44;0;227,27;13,96;13,03;0;18,14;25,26;476,94
Antônio Gonçalves;BA;56,55;345,28;7414,18;69,06;58,9;41,71;71,15;67,22;88,49;49,36;67,19;55,89;59,97;52,54;18,25;49,73;77,15;21,7;68,99;759,94;91,3;18,94;4,86;82,57;11,77;74;25,72;72,47;93,62;75,5;98,47;82,58;6,14;40,51;13,81;1,9;5,73;9,53;34,47;4,5;8,27;81,86;1,91;59,73;94,98;69,45;2,83;277,5;14,37;2,3;65,58;0;4,72;1,84;55,48;37,23;6;0;140,5;73;1134,61;1385,96;2;15,12;0,3;1,48;0,44;0,55;0;12,28;30,82;2,42;31,23;41,2;465,63
Aporá;BA;55,44;479,26;9141,53;64,29;55,48;46,54;73,92;68,71;85,16;29,38;60,64;55,19;50,77;55,32;11,34;47,51;94,66;32,66;82,87;235,78;159,74;8,19;5,15;83,87;2,07;80,22;22,35;73,06;86,95;71,17;96,67;116,41;15,81;45,2;25,12;3,73;7,83;8,68;48,95;3,44;4,15;79,48;5,33;60,78;89,36;70,05;3,32;407,08;14,55;12,56;70,27;3,35;7,02;3,14;51,7;34,41;4;0;116;73;3513,89;1595,59;2;19,51;0,3;1,04;0;0,89;0;0;0;0,95;46,85;58,78;487,7
Apuarema;BA;57,38;150,83;10520,44;70,34;55,13;46,67;72,53;70,23;88,99;49,6;50,12;61,88;53,61;54,92;43,31;43,97;76,72;22,7;93,69;797,69;151,42;23,44;4,44;66,69;64,39;65,9;10,3;75,9;94,71;80,08;95,09;64,98;9,72;26,04;3,62;7,72;13,8;13,8;45,97;3,72;8,07;85,23;0,33;91,65;91,54;69,09;2,83;369,24;17,95;3,62;80,11;0,5;7,21;2,89;50,92;26,85;10;8;101,73;60,45;1454,06;991,47;3;18,09;0,36;0;0,22;0,55;0;9,72;31,79;2,55;25,05;34,9;497,63
Apuiarés;CE;57,97;543,98;9218,64;71,67;61,97;40,26;82,83;51,43;91,57;60,84;79,08;53,95;52,28;62,56;24,83;51,49;61,33;23,39;95,02;651,12;111,43;10,13;3,02;82,67;5,12;30,85;32,6;60,98;96,63;92;98,59;53,16;0;26,37;7,74;0,8;2,17;6,35;18,23;5,18;0,38;84,18;0,14;69,28;79,62;69,44;2,51;414,39;16,64;7,74;100;0,78;2,58;11,6;44,16;11,94;2;6;88;72;1036,23;470,89;3;14,53;0,29;0;0,22;0,75;0;186,63;205,28;1,2;27,58;38;469,45
Aquiraz;CE;54,35;480,24;45817,61;55,66;63,32;44,09;76,52;38,03;81,45;26,63;73,77;71,62;53,42;54,46;24,17;53,82;63,43;34,95;73,43;626,42;120,3;12,72;3,14;25,9;50,36;30,02;35,37;79,23;77,28;60,06;98,04;159,18;13,9;65,8;10,17;0,4;6,27;9,73;27,85;5,26;1,25;99,85;19,55;90,53;94,07;72,27;2,89;384,21;24,46;5,95;76,56;2,77;6,24;0,62;54,79;29,29;4;6;158,8;88,29;2172,95;1209,19;5;13,51;0,29;1,61;0,24;0,63;5,49;43,2;81,14;9,65;51,29;57,86;505,21
Araçás;BA;53,15;474,58;25225,93;68,36;55,53;35,55;68,15;69,49;83,22;52,59;63,35;56,03;52,72;50,03;6,18;51,8;58,37;25,86;77,6;468,02;162,84;18,1;5,54;77,35;2,34;77,41;0,71;66,56;74,74;81,01;96,23;81,69;5,58;29,42;32,45;2,55;5,38;6,4;50,9;3,98;11,1;76,56;16,46;43,77;95,56;69,65;2,94;391,2;19,16;8,65;58,13;2,05;15,37;8,65;53,56;42,54;0;0;648,33;69,09;1744,81;1643,08;3;16,62;0,28;1,18;0,22;0;45,45;77;50,52;0,59;37,26;48,61;469,69
Aracati;CE;58,42;1227,2;21829,92;69,68;63,68;41,9;78,98;55,2;89,26;55,27;78,23;64,23;56,06;56,19;26,84;58,33;52,44;30,02;83,34;916,93;138,68;8,82;2,97;74,93;22,16;49,33;43,83;80,16;94,13;74,47;98,09;68,53;4,69;26,09;14,11;0,82;1,72;7,45;22,22;5,38;1,12;93,28;11,49;74,52;93,74;69,52;1,91;399,63;20,34;6,39;81,38;1,27;4,54;0,67;49,63;39,01;4;6;101,6;81,38;1097,94;789,46;7;11,78;0,27;1,39;0,53;0,54;42,37;206,38;107,58;18,14;40,56;47,77;507,12
Aracatu;BA;52,16;1489,8;10179,09;62,45;54,41;39,61;77,34;37,51;82,02;52,91;70,71;36,97;56,59;53,36;9,99;49,3;68,44;30,73;95,57;827,77;117,06;13,03;4,89;30,26;8,96;39,47;26,87;24,75;84,78;83,95;99,11;68,12;11;17,94;14,35;2,03;4,62;5,55;36,4;4,18;2;34,99;0,55;35,95;84,05;70,25;2,32;355,03;18,94;12,56;61,54;0,71;11,25;48,08;46,04;31,07;1;0;119,2;50,6;2113,75;848,04;2;13,27;0,31;0,93;0,67;0,83;0;73,35;129,4;0,89;39,63;52,89;464,66
Araci;BA;52,87;1496,24;9833,64;63,05;55,52;40,06;70,79;59,9;80,98;40,52;54,91;53,2;58,24;55,72;24,32;50,96;56,21;28,73;72,67;587,3;123,2;21,16;4,33;52,13;62,98;54,72;18,76;49,02;85,77;64,15;99,14;105,31;6,2;45,8;13,67;7;5,85;8,47;56,67;3,75;12,22;81,07;3,87;51;89,79;69,79;2,46;312,3;16,29;4,14;87,65;1,43;3,74;0,62;50,45;45,5;3;6;104;66;1624;1074,4;6;20,77;0,3;1,34;0,62;0,58;60,06;163,64;77,78;1,26;29,9;40,45;528,25
Aracoiaba;CE;55,46;643,99;10052,7;60,84;62,81;42,74;77,5;52,02;84,61;29,22;79,47;63,97;49,6;58,19;18,16;53,14;74,39;25,27;76,4;1032,2;122,67;10,84;2,99;68,25;38,17;36,53;40,26;72,99;77,69;82,12;94,96;134,37;7,8;59,48;20,35;0,3;3,02;6;13,23;4,88;0,63;96,88;2,82;81,86;94,1;70,56;3,18;433,47;22,95;3,91;75,76;0,79;3,96;5,87;49,73;18,39;3;0;96;57;527,12;394,57;3;13,89;0,28;1,1;0,73;0,93;0;24,96;72,68;0,7;30,53;37,06;504,85
Araçoiaba;PE;53,57;96,36;8179,46;57,98;63,55;39,17;68,04;33,62;84,59;45,66;77,87;62,58;51,39;62,36;23,86;47,55;63,41;21,87;83,87;655,83;218,01;28,24;3,15;43,01;1,64;29,14;48,77;82,61;78,57;75,37;95;100,97;3,36;33,26;3,9;0,28;0,15;4,98;21,02;4,16;2,18;100;0,37;74,1;95,04;70,87;2,45;525,22;22,44;1,3;81,44;0,42;1,48;0;48,33;9,66;1;7;89,83;69,43;1461,96;553,75;2;17,24;0,31;0,53;0,18;0,92;0;135,07;139,43;2,21;28,26;39,13;466,05
Aramari;BA;57,54;368,95;10326,87;70,24;57,86;44,52;71,7;59,83;81,11;68,32;62,21;54,36;56,47;58,4;18,29;51,27;85,47;23,07;77,16;405,1;150,77;14,47;4,77;71,99;46,5;52,51;39,26;56,91;89,81;60,58;96,11;35,75;0;24,41;10,17;1,95;3,28;12,47;52,85;4,03;8,62;88,72;1,67;47,99;92,5;70,63;2,72;348,99;16,57;10,17;66,67;6,32;5,53;3,05;51,47;28,3;6;0;648,33;69,09;1744,81;1643,08;2;15,01;0,28;0,72;0,22;0;0;0;31,18;0;26,98;34,51;467,14
Ararendá;CE;58,59;342,3;9365,57;72,3;61,52;41,94;75,3;64,66;90,28;58,98;84,39;56,77;44,63;60,29;24,69;51,9;65,41;25,78;97,85;779,43;167,55;20,52;3,64;83,92;3,62;66,28;21,99;52,15;98,61;91,92;96,99;39,98;9,06;16,22;37,85;0,28;0,15;7,15;22,38;7,1;0,03;87,81;11,56;45,15;93,09;70,76;3,5;468,94;23,81;11,27;75,56;0,01;3,72;27,94;42,73;19,31;5;3;78,33;71;838,54;614,01;2;14,81;0,28;1,84;0,22;0,44;0;47,12;256,85;1,81;37,09;46,57;467,9
Araripe;CE;55,53;1097,34;10359,5;68,44;57,92;40,25;74,42;44,22;90,01;65,1;75,41;54,71;52,16;49,4;11,57;48,99;77,65;22,78;90,3;1895,8;151,08;14,39;4,03;53,55;6,76;39,16;32,24;57,94;94,13;92,25;97,11;31,85;2,49;15,16;26,54;0,42;4,2;10;23,78;5,33;1,67;76,7;9,83;52,4;91,3;70,54;2,85;421,93;18,27;11,12;69,5;0,9;16,07;35,89;52,71;32,3;2;0;102;60;2134,81;675,96;4;20,89;0,3;1,28;0,73;0,69;0;9,97;59,52;2,58;26,56;35,64;501,86
Araripina;PE;59,41;2037,39;14221,1;69,55;62,64;46,04;75,65;57,53;83,06;61,97;75,21;59,56;56,95;58,86;26,28;49,1;70,54;38,25;86,91;1207,5;135,33;14,91;3,83;45,05;49,25;69,51;31,96;48,83;89,35;73,23;96,75;43,93;3,67;22,8;27,97;1,42;2,15;7,22;17,07;4,39;3,3;77,02;17,18;61,69;93,62;72,12;2,89;406,62;14,38;9,64;62,99;4,51;5;7,99;45,26;45;7;4;82,6;82,67;3180,77;850,61;5;20,76;0,31;1,16;0,35;0,46;0;60,04;35,49;2,33;46,23;58,64;547,11
Arataca;BA;53;435,96;9771,76;61,57;55,63;41,8;59,04;69,62;87,86;29,76;50,06;52,52;59,93;59,99;9,68;45,18;88,08;24,24;59,41;742,16;164,72;17,73;7,72;71,64;88,95;50,11;17,22;77,8;85,92;83,5;95,37;99,92;10,39;54,95;39,25;5,33;10,55;15,08;53,4;3,24;11,97;83,04;11,22;32,66;91,23;70,46;2,77;322,68;15,14;0;71,36;6,04;5,96;0,98;51,68;9,74;1;0;107,33;50,67;2278,17;869,38;2;23,73;0,3;0,23;0,22;0,78;0;6,93;0;0;29,74;40,01;476,02
Aratuba;CE;51,16;119,76;13330,31;54,92;61,68;36,89;74,6;35,26;84,57;25,26;76,75;62,83;46,92;60,21;18,45;52,34;55,68;21,09;88,72;999,01;183,13;22,7;2,2;28,92;20,72;26,52;24,5;46,91;89,9;82,92;95,17;128,53;17,85;55,24;16,04;0,33;2,77;9,48;22,97;5,52;2,87;91,07;7,53;76,77;93,28;71,49;4;496,54;17,46;8,91;55,69;0,18;2,1;4,45;51,13;5,73;5;0;101;65;1105,01;706,14;4;14,37;0,29;0,26;0;0,82;24,34;142,81;90,09;0,6;28,78;36,87;464,56
Aratuípe;BA;54,89;174,01;8970,03;65,74;52,39;46,53;69,24;54,84;75,74;63,15;59,23;42,77;57,48;50,07;38,26;51,11;75,26;21,5;84,87;1026,12;215,26;25,03;3,06;54,87;40,46;59,63;40,98;60,32;72,91;68,11;87,73;62;0;20,74;16,13;6,27;7,4;8,05;44,02;3,52;4,67;78,4;5,65;30,14;65,85;70,2;2,95;373,4;16,08;3,84;45,38;3,36;11,22;0;55,03;55,5;10;6;89,25;70,25;1964,92;841,56;5;17,86;0,3;0,65;0,22;0,98;0;17,45;34,5;0;26,37;37,89;460,8
Arcoverde;PE;61,91;343,92;14929,4;77,31;64,98;43,43;75,12;79,56;93,03;61,54;78,48;65,68;55,11;60,63;33,99;56,34;47,9;35,49;89,36;1043,41;164,67;15,3;3,6;75,14;86,04;98,63;50,78;84,21;96,55;89,99;95,57;49,83;4,86;27,07;23,41;0,35;0,42;6,95;19,77;5,02;3,5;98,07;8,22;80,18;94,52;72,95;2,45;450,12;21,96;4,89;86,59;8,59;2,7;0,9;51,66;37,51;10;0;122,22;50,2;500,47;297,41;9;16,22;0,29;1,82;0,4;0,3;19,92;707,22;180,11;13,95;45,02;50,89;544,7
Arneiroz;CE;58,52;1068,44;9284,24;74,15;58;43,41;78,51;57,03;88,18;72,87;78,04;51,16;52,57;50,23;24,06;51,41;64,96;33,22;91,97;753,74;102,21;23,43;2,84;59,04;77,96;42,15;39,28;61,42;95,14;88,22;92,81;42,22;0;10,1;43,07;1,17;1,45;7,88;16;4,99;0,47;71,18;5,95;46,71;91,69;69,41;2,07;315,37;16,21;26,92;100;0;12,08;18,85;50,42;47,84;4;5;72,56;80;1574,95;758,13;3;16,32;0,28;0;0,44;0,32;0;80,88;233,1;0;44,32;63,19;490,71
Assaré;CE;59,34;1155,12;10759,54;71,23;60,81;45,97;79,13;60,93;89,45;55,42;78,53;54,43;60,72;49,55;31,57;51,97;73,44;26,9;89,07;827,67;82,26;13,62;4,23;63,63;96,78;44,6;47,21;64,28;98,19;85,32;94,81;47,23;9,13;24,89;33,18;0,43;3,42;8,52;13,75;5,26;0,63;77,76;8,37;46,84;95,54;71,95;2,01;335,74;17,1;17,51;55,61;0,13;9,21;12,91;56,06;38,89;12;0;91;71;1458,24;676,45;4;17,61;0,28;0,25;0,36;0,56;0;32,86;32,77;0;33,2;42,59;498,34
Aurelino Leal;BA;54,75;445,39;12095,81;61,44;51,31;51,51;63,06;83,23;84,13;15,34;56,4;55,3;35,41;58,12;43,84;45,27;96,12;20,8;81,21;2861,26;225,16;29,2;3,61;86,29;85,31;83,86;25,62;78,56;82,7;72,07;94,37;350,6;14,09;114,5;14,31;3,97;7,77;9,85;52,02;3,35;12,33;87,77;6,98;61,9;79,32;70,55;5,52;533,96;16,53;7,16;85,75;2,88;8,05;0,89;47,76;21,69;11;9;175,33;74,67;2920,25;1602,68;2;24,71;0,3;0,35;0,44;0;0;0;0;0,5;28,52;35,57;484,84
Aurora;CE;58,22;885,87;8998,83;69,04;60,25;45,38;72,92;49,6;85,14;68,49;77,47;54,08;56,52;52,93;25,36;51,71;67,12;37,35;83,68;2708,45;146,48;10,05;4,38;51,13;48,95;39,63;35,42;26,77;92,96;90,36;97,15;31,88;2,1;10,12;11,81;1,88;1,48;4,45;22,67;4,8;0,62;83,89;0,33;53,54;92,93;70,81;1,98;414,72;15,47;14,34;84,29;0,85;8,84;11,81;50,72;38;2;4;97;50;523,73;316,5;4;15,91;0,29;1,47;0,73;0,41;0;83,86;135,64;5,02;48,5;62,04;517,4
Baianópolis;BA;53,88;3320,72;18834,08;62,17;52,85;46,63;75,1;32,17;74,78;66,61;66,23;35,35;65,76;44,05;27,13;45,3;94,77;19,31;88,08;1274,26;86,29;21,65;4,39;23,78;5,79;27,68;20,65;18,94;96,17;56,58;90,79;31,8;5,04;14,69;22,04;1,28;8,2;10,02;38,73;4,21;4,03;21,56;3,9;31,54;89,38;70,8;2,45;276,9;13,45;2,45;40,4;1,01;74,67;52,15;51,63;31,54;5;7;100;82;2005,36;1987,79;2;15,21;0,35;0,59;0,22;0,43;0;0;0;4,95;16,07;21,6;498,36
Baixa Grande;BA;55,69;967,51;10496,68;66,11;57,09;43,88;71,64;57,49;84,64;50,66;61,76;53,09;60,56;52,94;26,47;48,47;76,63;23,93;80,1;1038,76;132,36;12,45;5,52;54,06;47,17;59,86;30,95;58,86;91,42;70,35;97,73;86,73;3,64;37,32;25,25;3,72;8,75;10,17;34,87;3,92;8,07;65,41;13,87;50,1;92,13;71,49;2,9;338,22;16,26;7,68;28,04;1,88;7,04;0;53,48;42,21;5;4;94;63,33;764,41;941,25;2;17,48;0,3;0,81;0,18;0,62;0;13,63;22,75;0,37;23,36;32,26;502,6
Baixio;CE;58,86;145,56;11665,65;76,22;59,47;40,89;77,48;56,8;85,6;85;78,69;58,77;50,4;50,01;22,96;51,11;67,73;21,75;81,13;720,07;114,36;8,73;4,17;74,63;3,96;52,38;23,71;34,66;97,97;92,93;90,6;0;0;0;4,38;0,7;1,37;4,27;26,22;4,87;0,12;96,97;11,44;41,17;95,97;70,77;3,12;422,76;13,35;14,03;96,51;0;9,64;14,03;52,27;50,19;8;0;89;62;1857,96;894,93;2;15,34;0,29;2,66;0,89;0;0;78,01;181,16;0;29,46;36,21;481,59
Banabuiú;CE;53,88;1080,99;14836,82;63,32;60,16;38,16;77,31;60,94;83,83;31,22;73,05;55,54;52,55;59,49;13,36;49,61;62,24;27,43;84,45;1004,53;102,44;16,07;3,61;75,51;17,81;59,57;27,12;56,35;93,69;69,5;95,42;93,44;15,6;40,71;13,96;0,75;5,25;9,65;28,52;5,06;2,12;71,9;7,45;63,23;93,07;71,71;2,3;392,93;26,92;11,63;81,47;0,42;6,16;2,91;43,37;24,19;2;0;169,33;56,55;1082,59;760,01;2;15,26;0,3;0,56;0,55;0,84;0;154,42;380,85;0;35,7;47,95;484,27
Banzaê;BA;57,6;409,51;9296,15;73,54;55,36;43,91;72,63;58,14;89,17;74,21;66,95;43,4;59,92;51,15;8,27;51,88;84,08;31,4;69,77;455,95;107,04;16,87;4,34;99,27;2,31;39,57;40,23;84,99;94,48;73,9;96,25;29,44;0;10,04;13,38;2,15;5,65;9,42;41,02;4,63;5,78;76,71;0,34;41,18;67,38;71,15;2,6;296,03;19,99;10,04;39,51;0,35;7,04;0,84;54,17;47,62;0;0;112,33;78;771,03;692,3;4;19,28;0,27;1,35;0,44;0,62;2,33;11,24;0;2,77;37,28;48,19;503,56
Barbalha;CE;59,87;608,16;16891,99;73,64;65,34;40,61;76,56;59,83;94,4;63,78;77,2;66,13;58,05;59,99;30;57,32;37,49;37,64;86,47;1136,39;139,67;11,98;3,75;62,01;75,69;54,29;48,62;82,15;96,76;92,43;98,29;30;2,58;18,39;27,45;0,43;4,55;7,62;19,98;5,36;1,98;96,59;20,42;65,37;94,77;74,02;2,28;458,26;17,86;10,13;77,67;3,46;1,92;2,53;53,97;13,64;3;9;101,2;81,33;1695,05;743,74;6;13,02;0,29;5,58;0,27;0,51;324,32;1450,81;570,91;4;53,86;65,05;512,45
Barra;BA;54,3;11428,11;8104,03;69,26;53,29;40,35;67,17;68,24;77,34;64,29;63,37;47,18;56,95;45,66;21,17;47,81;73,2;19,22;80,6;1200,79;176,25;21,18;5,06;67,4;41,07;89,14;42,74;49,69;88,07;64,35;87,59;32,66;3,98;20,36;12,13;2,1;8,47;8,97;44,22;3,87;5,87;45,74;12,31;46,2;91,83;69,99;2,39;424,18;13,52;7,05;71,24;5,08;39,63;39,93;60,68;19,75;8;0;112;72;3068,26;931,22;7;22,86;0,33;0,87;0,53;0,71;0;37,45;41,9;0,74;19,09;24,9;490,66
Barra da Estiva;BA;57,85;1657,41;13792,69;72,85;59,74;40,96;78,41;75,16;85,44;52,39;66,54;57,48;58,67;56,29;17,21;53,3;69,58;23,73;93,36;1462,67;126,86;14,56;3,35;68,47;60,39;95,03;33,6;51,17;89,03;80,21;98,19;54,92;12,92;19,21;16,14;1,02;10,92;8,55;43,23;4,98;5,92;66,86;18,97;63,3;91,19;67,99;2,18;348,29;12,45;7,68;66,17;6,98;8,91;9,22;51,29;35,53;5;3;53;95,5;3892,03;1718,32;5;15,47;0,29;1,92;0;0,88;0;55,83;36,5;0,66;23,84;27,76;517,83
Barra de Guabiraba;PE;59;118,64;11732,38;73,52;60,16;43,32;77,68;84,88;88,92;42,58;77,85;55,95;45,57;61,28;30,7;45,89;68,43;28,28;87,34;756,92;175,21;8,28;3,19;81,59;88,32;98,84;36,08;85,15;91,53;79,36;94,26;113,34;5,45;40,77;11,42;1,57;0,4;7,67;21,83;5,47;2,22;99,36;10,83;53,53;73,39;68,54;2,93;475,41;22,05;12,23;70,95;2,5;2,63;1,63;48,09;18,15;6;6;96,5;90,67;704,68;950,04;2;23,63;0,3;0,14;0,44;0,36;;45,8;142,86;0;37,48;49,03;472,78
Barra do Choça;BA;51,54;765,94;15012,93;67,44;54,77;32,4;72,79;72,45;92,93;31,61;56,43;48,88;55,55;58,21;14,63;52,05;49,35;13,58;81,17;786,02;144,25;16,32;4,35;80,05;19,69;81,96;12,65;83,98;92,2;89,01;98,94;135,66;10,78;53,64;14,78;3,7;10,18;13,43;52,67;3,81;6,1;63,76;1,21;54,37;89,04;71,21;2,72;372,31;19,75;8,21;66,67;1,99;5,56;0;46,91;31,45;5;0;35;93;1359;962,4;4;16,54;0,29;1,2;0,15;0,82;312,5;189,81;78,98;2,31;14,78;18;477,95
Barra do Mendes;BA;56,51;1436,3;8139,15;69,82;58,23;41,49;64,62;54,04;84,53;76,1;74,92;43,34;56,71;57,92;26,71;50,47;65,7;23,1;82,92;1561,84;180,95;16,77;6,8;55,23;1,05;70,5;30,58;51,11;94,69;70,55;97,8;22,29;0;5,42;14,46;0,85;6,2;6,23;23,87;4,97;2,37;56,27;13,43;42,6;68,66;72,04;2,1;385,47;16,97;17,35;85,42;1,01;3,89;13,01;51,02;12,93;10;0;115;52;4231,99;875,54;3;17,77;0,3;3,16;0,44;0,91;0;143;92,35;1,91;24,94;29,97;518,79
